,Moving Time (s),Distance (km),Calories,Type,Cluster
0,7053.0,52.0,1332,Ride,0
1,6271.0,40.5,941,Ride,0
2,8801.0,53.7,1432,Ride,0
3,8908.0,53.4,1514,Ride,0
4,4917.0,33.8,953,Ride,0
5,6394.0,55.5,1177,Ride,0
6,8394.0,53.8,1473,Ride,0
7,8475.0,50.1,1321,Ride,0
8,6841.0,40.3,1050,Ride,0
9,8051.0,53.4,1443,Ride,0
10,8030.0,53.4,1460,Ride,0
11,9126.0,40.6,932,Ride,0
12,8518.0,51.9,1289,Ride,0
13,7914.0,50.3,1354,Ride,0
14,8381.0,52.0,1302,Ride,0
15,7336.0,45.9,1126,Ride,0
16,7998.0,51.9,1323,Ride,0
17,8044.0,51.9,1310,Ride,0
18,8042.0,50.3,1330,Ride,0
19,8003.0,51.9,1320,Ride,0
20,6347.0,28.4,1296,Ride,0
21,4758.0,31.4,801,Ride,0
22,5389.0,35.7,946,Ride,0
23,8196.0,50.3,1323,Ride,0
24,5657.0,35.6,914,Ride,0
25,5538.0,35.7,924,Ride,0
26,8786.0,51.9,1290,Ride,0
27,5793.0,35.6,913,Ride,0
28,5416.0,35.7,944,Ride,0
29,6039.0,35.6,892,Ride,0
30,8961.0,53.2,1312,Ride,0
31,5987.0,35.6,906,Ride,0
32,8052.0,45.6,1301,Ride,0
33,7843.0,51.8,1220,Ride,0
34,6203.0,40.2,972,Ride,0
35,296.0,1.9,49,Ride,0
36,5912.0,35.6,908,Ride,0
37,8400.0,41.2,893,Ride,0
38,8801.0,50.7,1315,Ride,0
39,5709.0,35.6,920,Ride,0
40,6564.0,35.5,877,Ride,0
41,2493.0,11.5,350,Ride,0
42,5688.0,31.6,904,Ride,0
43,8143.0,43.4,1157,Ride,0
44,5160.0,17.5,652,Ride,0
45,4807.0,27.1,704,Ride,0
46,4156.0,24.1,887,Ride,0
47,4867.0,27.1,1041,Ride,0
48,4607.0,27.1,1004,Ride,0
49,8605.0,50.7,1635,Ride,0
50,8888.0,50.6,1581,Ride,0
51,4728.0,27.0,941,Ride,0
52,5036.0,27.3,908,Ride,0
53,4757.0,27.4,1036,Ride,0
54,4293.0,27.1,1007,Ride,0
55,4717.0,27.2,969,Ride,0
56,8595.0,50.7,1579,Ride,0
57,8206.0,50.8,1700,Ride,0
58,4654.0,27.3,950,Ride,0
59,4471.0,27.3,939,Ride,0
60,4468.0,27.1,977,Ride,0
61,4522.0,27.0,925,Ride,0
62,4168.0,27.1,998,Ride,0
63,4504.0,27.3,929,Ride,0
64,4491.0,27.2,913,Ride,0
65,4777.0,27.5,919,Ride,0
66,5628.0,33.1,1176,Ride,0
67,4506.0,27.6,979,Ride,0
68,7944.0,50.8,1642,Ride,0
69,422.0,1.4,48,Ride,0
70,4194.0,27.2,850,Ride,0
71,7862.0,50.8,1467,Ride,0
72,4784.0,27.1,861,Ride,0
73,4050.0,24.0,808,Ride,0
74,4787.0,27.3,903,Ride,0
75,5761.0,25.6,1170,Ride,0
76,8110.0,50.4,1327,Ride,0
77,4965.0,37.8,1138,Ride,0
78,5600.0,33.4,821,Ride,0
79,6192.0,55.1,1514,Ride,0
80,4623.0,40.1,1009,Ride,0
81,4441.0,40.2,1207,Ride,0
82,5450.0,48.4,1280,Ride,0
83,4441.0,40.2,1132,Ride,0
84,5594.0,48.4,1434,Ride,0
85,3380.0,27.1,738,Ride,0
86,6197.0,55.2,1707,Ride,0
87,4406.0,40.4,1235,Ride,0
88,6202.0,55.2,1495,Ride,0
89,6377.0,55.5,1504,Ride,0
90,6067.0,55.2,1579,Ride,0
91,4546.0,40.1,1073,Ride,0
92,5587.0,48.8,1462,Ride,0
93,5166.0,37.1,791,Ride,0
94,4674.0,40.0,1082,Ride,0
95,5854.0,49.1,1363,Ride,0
96,5881.0,48.8,1421,Ride,0
97,3636.0,33.8,668,VirtualRide,0
98,5487.0,48.7,1522,Ride,0
99,6402.0,55.4,1615,Ride,0
100,3667.0,30.0,721,VirtualRide,0
101,4929.0,39.9,1145,Ride,0
102,5577.0,48.9,1395,Ride,0
103,3624.0,29.3,681,VirtualRide,0
104,6071.0,55.4,1604,Ride,0
105,6221.0,48.8,1384,Ride,0
106,4312.0,39.0,783,VirtualRide,0
107,5386.0,27.5,1354,Ride,0
108,5846.0,32.8,1471,Ride,0
109,8691.0,50.5,1929,Ride,0
110,6986.0,32.9,1304,Ride,0
111,8287.0,50.5,2052,Ride,0
112,8538.0,50.5,1923,Ride,0
113,7972.0,50.0,1869,Ride,0
114,3611.0,34.9,660,VirtualRide,0
115,7235.0,54.3,1736,Ride,0
116,5439.0,40.0,1229,Ride,0
117,2742.0,27.7,628,VirtualRide,0
118,4537.0,41.1,776,VirtualRide,0
119,2608.0,29.9,639,VirtualRide,0
120,5281.0,50.0,1539,Ride,0
121,3683.0,25.1,518,VirtualRide,0
122,4478.0,40.1,1221,Ride,0
123,5959.0,51.0,1629,Ride,0
124,3726.0,34.3,676,VirtualRide,0
125,2806.0,28.1,706,VirtualRide,0
126,3796.0,30.0,1022,Ride,0
127,7631.0,52.5,1351,Ride,0
128,6658.0,55.6,1771,Ride,0
129,3599.0,30.6,1056,Ride,0
130,1593.0,10.2,283,Ride,0
131,577.0,5.3,183,Ride,0
132,7994.0,55.5,1444,Ride,0
133,3600.0,30.2,1076,Ride,0
134,3600.0,30.2,1068,Ride,0
135,4968.0,40.2,1154,Ride,0
136,3625.0,31.0,949,Ride,0
137,3600.0,30.1,965,Ride,0
138,1874.0,21.0,623,Ride,0
139,3600.0,30.2,986,Ride,0
140,3600.0,30.1,1007,Ride,0
141,4232.0,34.7,1016,VirtualRide,0
142,4998.0,48.2,1510,Ride,0
143,1524.0,15.6,500,Ride,0
144,3600.0,30.1,1018,Ride,0
145,1813.0,19.5,573,Ride,0
146,4583.0,46.0,1373,Ride,0
147,1860.0,20.2,607,Ride,0
148,5742.0,38.1,894,Ride,0
149,1921.0,20.3,625,Ride,0
150,6162.0,57.4,1881,Ride,0
151,1910.0,18.7,617,Ride,0
152,3641.0,30.1,1015,Ride,0
153,2674.0,31.1,868,Ride,0
154,5688.0,50.8,1512,Ride,0
155,3600.0,31.2,998,Ride,0
156,3631.0,30.1,1023,Ride,0
157,6621.0,56.4,1733,Ride,0
158,1088.0,8.1,475,VirtualRide,0
159,4392.0,40.3,1202,Ride,0
160,6888.0,55.6,1642,Ride,0
161,2635.0,28.7,775,Ride,0
162,4605.0,40.5,1073,Ride,0
163,3610.0,32.2,994,Ride,0
164,3608.0,31.7,885,Ride,0
165,6857.0,56.3,1688,Ride,0
166,4551.0,40.2,1115,Ride,0
167,7002.0,55.8,1576,Ride,0
168,7363.0,56.1,1512,Ride,0
169,2738.0,30.0,881,Ride,0
170,4738.0,40.0,1071,Ride,0
171,7026.0,60.6,1680,Ride,0
172,5935.0,50.8,1353,Ride,0
173,3583.0,32.5,948,Ride,0
174,4777.0,40.1,929,Ride,0
175,3567.0,20.1,837,Ride,0
176,3278.0,29.1,962,Ride,0
177,8258.0,50.5,1600,Ride,0
178,5645.0,33.1,1142,Ride,0
