Date,Name,Type,Moving Time,Distance (km),Elevation Gain (m),Avg Moving Speed (kph),Avg Pace (/km),Calories,Best 20min Speed (kph),Best 20min Pace (/km),Running Stress Score,Running Stress Score / h,Avg HR (bpm),HRSS,HRSS / h,Best 20min HR (bpm),Cadence Avg Moving (rpm or spm),Avg Watts (w),Avg Watts / Kilograms (w/kg),Best 20min Power (w),Power Stress Score,Power Stress Score / h,Athlete Settings,Delete
2017-08-05T09:32:39-04:00,Morning Ride,Ride,1:57:33,52,811.4,25.9,2:18,1332,31.7,1:53,-,-,151,126,63,163,-,168,2.4,199,-,0,MaxHr 190bpm. RestHr 65bpm. Weight 70kg.,
2017-08-13T13:14:20-04:00,Lunch Ride,Ride,1:44:31,40.5,350.4,22.4,2:41,941,29.7,2:01,-,-,131,70,39,148,-,134,1.91,164,-,0,MaxHr 190bpm. RestHr 65bpm. Weight 70kg.,
2017-08-14T13:41:10-04:00,Lunch Ride,Ride,2:26:41,53.7,1015.8,22,2:43,1432,27.6,2:10,-,-,150,161,66,166,-,146,2.09,188,-,0,MaxHr 190bpm. RestHr 65bpm. Weight 70kg.,
2019-09-19T23:45:00-04:00,Complimentary calisthenics,Workout,1:00:00,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Weight 70kg.,
2017-08-16T11:44:59-04:00,Ride de perdedor que se estalla dos veces ;(,Ride,3:02:58,70.1,1185.3,22.5,2:39,1827,29.6,2:01,-,-,148,191,61,166,-,153,2.18,197,-,0,MaxHr 190bpm. RestHr 65bpm. Weight 70kg.,
2017-08-18T10:09:39-04:00,Ride de campeón que no se estalla ninguna vez ;),Ride,2:52:59,70.9,1202.7,24.5,2:26,1817,31.7,1:53,-,-,149,175,61,158,-,156,2.23,187,-,0,MaxHr 190bpm. RestHr 65bpm. Weight 70kg.,
2017-08-19T11:34:17-04:00,Morning Ride,Ride,2:59:16,41.1,938,13.5,4:27,1604,23.7,2:31,-,-,126,102,33,147,-,139,1.98,210,-,0,MaxHr 190bpm. RestHr 65bpm. Weight 70kg.,
2017-08-22T10:57:14-04:00,Puris,Ride,2:28:28,53.4,1195,21.5,2:47,1514,29.4,2:02,-,-,149,156,63,160,-,155,2.21,200,-,0,MaxHr 190bpm. RestHr 65bpm. Weight 70kg.,
2017-08-25T10:14:13-04:00,Morning Ride,Ride,2:59:24,72.7,1239.2,24.3,2:28,1877,30.4,1:58,-,-,154,208,69,165,-,158,2.26,202,-,0,MaxHr 190bpm. RestHr 65bpm. Weight 70kg.,
2019-09-12T22:45:00-04:00,Complimentary calisthenics,Workout,1:00:00,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Weight 70kg.,
2017-08-26T11:47:04-04:00,Morning Ride,Ride,3:19:24,45.1,1061.1,13.2,4:32,1758,17,3:31,-,-,129,124,36,159,-,136,1.94,220,-,0,MaxHr 190bpm. RestHr 65bpm. Weight 70kg.,
2017-08-28T11:24:40-04:00,Contra el tiempo,Ride,1:21:57,33.8,631.6,24.6,2:26,953,30.1,1:59,-,-,153,93,68,157,-,179,2.55,199,-,0,MaxHr 190bpm. RestHr 65bpm. Weight 70kg.,
2017-08-29T08:27:30-04:00,Entrenamiento,Ride,1:46:34,55.5,495.6,31.2,1:55,1177,32.3,1:51,-,-,156,123,69,161,-,163,2.33,182,-,0,MaxHr 190bpm. RestHr 65bpm. Weight 70kg.,
2017-09-01T10:46:54-04:00,Morning Ride,Ride,3:06:13,74.9,1262.1,23.6,2:32,1988,28.7,2:05,-,-,151,205,65,163,-,164,2.35,218,-,0,MaxHr 190bpm. RestHr 65bpm. Weight 70kg.,
2017-09-12T08:53:53-04:00,Not chilling again,Ride,2:53:39,70.5,1206.5,24.3,2:28,1842,30.2,1:59,-,-,154,201,70,162,-,160,2.28,204,-,0,MaxHr 190bpm. RestHr 65bpm. Weight 70kg.,
2019-09-05T23:20:00-04:00,Complimentary calisthenics,Workout,1:00:00,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Weight 70kg.,
2017-09-15T11:49:10-04:00,Ride de la independencia,Ride,2:19:54,53.8,1006.7,22.9,2:37,1473,28.3,2:07,-,-,155,171,73,168,-,161,2.3,186,-,0,MaxHr 190bpm. RestHr 65bpm. Weight 70kg.,
2017-09-16T12:41:17-04:00,¿?,Ride,2:21:15,50.1,898,21.2,2:49,1321,27.7,2:09,-,-,145,132,56,156,-,143,2.04,191,-,0,MaxHr 190bpm. RestHr 65bpm. Weight 70kg.,
2017-09-18T13:19:29-04:00,Lunch Ride,Ride,1:54:01,40.3,794.6,21.2,2:50,1050,26.5,2:15,-,-,147,115,61,163,-,139,1.98,179,-,0,MaxHr 190bpm. RestHr 65bpm. Weight 70kg.,
2017-09-25T10:46:22-04:00,Morning Ride,Ride,2:14:11,53.4,1006.7,23.6,2:32,1443,29.9,2:00,-,-,156,169,75,173,-,162,2.31,209,-,0,MaxHr 190bpm. RestHr 65bpm. Weight 70kg.,
2017-09-26T11:35:45-04:00,Morning Ride,Ride,2:13:50,53.4,1012.3,23.8,2:31,1460,29.4,2:02,-,-,160,187,83,178,-,164,2.35,219,-,0,MaxHr 190bpm. RestHr 65bpm. Weight 70kg.,
2019-08-28T23:15:00-04:00,Complimentary calisthenics,Workout,0:45:00,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Weight 70kg.,
2017-09-29T10:25:48-04:00,Fondo,Ride,5:23:21,124.3,2602,22.6,2:39,3343,31.3,1:55,-,-,154,391,71,174,-,144,2.06,205,-,0,MaxHr 190bpm. RestHr 65bpm. Weight 70kg.,
2017-09-30T09:07:22-04:00,Morning Ride,Ride,2:32:06,40.6,716.4,15.4,3:53,932,23.1,2:35,-,-,126,86,33,147,-,81,1.16,171,-,0,MaxHr 190bpm. RestHr 65bpm. Weight 70kg.,
2017-10-06T10:04:53-04:00,Morning Ride,Ride,2:21:58,51.9,970.4,21.9,2:44,1289,26.8,2:14,-,-,149,150,63,161,-,124,1.78,171,-,0,MaxHr 190bpm. RestHr 65bpm. Weight 70kg.,
2017-10-07T09:10:41-04:00,Morning Ride,Ride,2:11:54,50.3,1123.6,22.2,2:42,1354,30.6,1:57,-,-,157,179,79,178,-,141,2.02,218,-,0,MaxHr 190bpm. RestHr 65bpm. Weight 70kg.,
2017-10-10T11:24:39-04:00,Morning Ride,Ride,2:19:41,52,970.3,22,2:43,1302,27.1,2:12,-,-,151,157,67,162,-,129,1.85,180,-,0,MaxHr 190bpm. RestHr 65bpm. Weight 70kg.,
2017-10-16T12:25:22-04:00,Garmin sin batería,Ride,2:02:16,45.9,822,22.5,2:39,1126,30.9,1:56,-,-,157,156,76,172,-,127,1.82,167,-,0,MaxHr 190bpm. RestHr 65bpm. Weight 70kg.,
