"Date","Name","Type","Moving Time","Distance (km)","Elevation Gain (m)","Avg Moving Speed (kph)","Avg Pace (/km)","Calories","Best 20min Speed (kph)","Best 20min Pace (/km)","Running Stress Score","Running Stress Score / h","Avg HR (bpm)","HRSS","HRSS / h","Best 20min HR (bpm)","Cadence Avg Moving (rpm or spm)","Avg Watts (w)","Avg Watts / Kilograms (w/kg)","Best 20min Power (w)","Power Stress Score","Power Stress Score / h","Athlete Settings","Delete"
"2019-09-22T16:27:01-04:00","Último día de verano","Ride","01:58:06","62.5","589","31.7","01:53","1772","34","01:45","-","-","158","144","73","163","95","179","2.56","201","-","0","MaxHr 190bpm. RestHr 65bpm. Weight 70kg.",""
"2019-09-21T11:57:23-04:00","Dos loops","Ride","02:38:51","80.1","890","28.7","02:05","2432","36.7","01:38","-","-","158","217","77","173","89","174","2.49","225","-","0","MaxHr 190bpm. RestHr 65bpm. Weight 70kg.",""
"2019-09-20T17:55:47-04:00","Con poco tiempo","Ride","01:07:52","35.2","314","30.9","01:56","1029","34.5","01:44","-","-","159","87","76","163","91","169","2.42","188","-","0","MaxHr 190bpm. RestHr 65bpm. Weight 70kg.",""
"2019-09-19T23:45:00-04:00","Complimentary calisthenics","Workout","01:00:00","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","Weight 70kg.",""
"2019-09-18T17:41:48-04:00","Afternoon Ride","Ride","01:26:05","45.6","447","31.4","01:54","1326","36","01:40","-","-","161","119","81","173","97","181","2.59","221","-","0","MaxHr 190bpm. RestHr 65bpm. Weight 70kg.",""
"2019-09-17T16:47:31-04:00","Afternoon Ride","Ride","01:20:51","41.1","454","29.9","02:00","1156","33.8","01:46","-","-","155","96","69","162","94","176","2.52","206","-","0","MaxHr 190bpm. RestHr 65bpm. Weight 70kg.",""
"2019-09-15T12:00:04-04:00","15 de septiembre 🇨🇷","Ride","02:04:00","61.4","692","29.4","02:02","1806","33.9","01:46","-","-","155","146","70","165","92","165","2.35","196","-","0","MaxHr 190bpm. RestHr 65bpm. Weight 70kg.",""
"2019-09-14T12:30:04-04:00","Pilot Mtn","Ride","02:50:08","81","1096","27.8","02:09","2550","33.5","01:47","-","-","158","225","77","185","91","167","2.39","245","-","0","MaxHr 190bpm. RestHr 65bpm. Weight 70kg.",""
"2019-09-13T10:32:05-04:00","Morning Ride","Ride","01:49:09","51.4","576","28","02:08","1289","32.2","01:51","-","-","142","90","49","148","89","150","2.15","189","-","0","MaxHr 190bpm. RestHr 65bpm. Weight 70kg.",""
"2019-09-12T22:45:00-04:00","Complimentary calisthenics","Workout","01:00:00","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","Weight 70kg.",""
"2019-09-11T17:55:23-04:00","Afternoon Ride","Ride","01:44:59","55.4","502","31.5","01:54","1479","35.2","01:42","-","-","153","116","66","159","95","180","2.58","201","-","0","MaxHr 190bpm. RestHr 65bpm. Weight 70kg.",""
"2019-09-10T18:37:38-04:00","Lewisville","Ride","01:31:26","47.2","447","30.8","01:56","1288","34","01:45","-","-","154","106","69","164","94","172","2.45","191","-","0","MaxHr 190bpm. RestHr 65bpm. Weight 70kg.",""
"2019-09-08T13:55:36-04:00","Rural Hall","Ride","01:44:43","52.6","535","29.4","02:02","1744","34.6","01:43","-","-","168","172","96","178","95","167","2.39","203","-","0","MaxHr 190bpm. RestHr 65bpm. Weight 70kg.",""
"2019-09-07T15:00:09-04:00","Sauratown","Ride","03:38:21","100.9","1395","27.6","02:10","3490","34.9","01:43","-","-","165","337","92","186","90","158","2.26","205","-","0","MaxHr 190bpm. RestHr 65bpm. Weight 70kg.",""
"2019-09-06T16:45:29-04:00","Paseo del viernes en la noche","Ride","01:39:58","52","560","30.9","01:56","1635","36.1","01:39","-","-","166","152","90","172","95","185","2.64","216","-","0","MaxHr 190bpm. RestHr 65bpm. Weight 70kg.",""
"2019-09-05T23:20:00-04:00","Complimentary calisthenics","Workout","01:00:00","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","Weight 70kg.",""
"2019-09-04T17:40:32-04:00","Cyclocross!","Ride","01:05:38","13.2","184","11.9","05:01","900","10.8","05:34","-","-","151","74","67","164","-","78","1.12","79","-","0","MaxHr 190bpm. RestHr 65bpm. Weight 70kg.",""
"2019-09-03T17:27:57-04:00","FTP Test | Zwift","VirtualRide","01:04:37","30.3","550","28.2","02:07","729","34.2","01:45","-","-","162","92","86","171","-","197","2.81","241","-","0","MaxHr 190bpm. RestHr 65bpm. Weight 70kg.",""
"2019-09-01T16:10:00-04:00","Genghis Gan turns 1","Ride","01:52:15","45.9","447","24.3","02:28","1114","28","02:08","-","-","136","79","42","146","84","112","1.6","145","-","0","MaxHr 190bpm. RestHr 65bpm. Weight 70kg.",""
"2019-08-31T17:53:27-04:00","Rodando","Ride","01:04:00","32.5","282","30.2","01:59","855","35.7","01:40","-","-","150","66","61","158","94","161","2.3","187","-","0","MaxHr 190bpm. RestHr 65bpm. Weight 70kg.",""
"2019-08-30T17:45:00-04:00","Rodando rápido","Ride","01:25:05","47.5","406","32.7","01:50","1393","38.1","01:34","-","-","165","132","91","174","97","211","3.02","257","-","0","MaxHr 190bpm. RestHr 65bpm. Weight 70kg.",""
"2019-08-28T23:15:00-04:00","Complimentary calisthenics","Workout","00:45:00","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","Weight 70kg.",""
"2019-08-27T17:41:29-04:00","Tour virtual por NY | Zwift","VirtualRide","01:11:25","37.6","615","31.6","01:53","849","34.8","01:43","-","-","-","-","-","-","-","208","2.97","243","-","0","Weight 70kg.",""
"2019-08-26T15:55:11-04:00","Rotando","Ride","02:02:44","63","744","30.2","01:59","1661","33.5","01:47","-","-","150","128","61","157","95","180","2.57","196","-","0","MaxHr 190bpm. RestHr 65bpm. Weight 70kg.",""
"2019-08-25T15:03:44-04:00","Rotando fuerte","Ride","01:39:49","55.4","541","33.3","01:48","1495","38.5","01:33","-","-","158","123","74","164","97","205","2.94","240","-","0","MaxHr 190bpm. RestHr 65bpm. Weight 70kg.",""
"2019-08-23T10:46:38-04:00","Back to NC ⚡","Ride","01:41:17","52.8","605","30.9","01:56","1568","34.7","01:43","-","-","161","138","81","173","96","185","2.65","222","-","0","MaxHr 190bpm. RestHr 65bpm. Weight 70kg.",""
"2019-08-21T08:08:16-04:00","Ya no más 🇨🇷","Ride","01:32:34","25.1","660","16","03:44","678","21","02:51","-","-","-","-","-","-","-","156","2.23","229","-","0","Weight 70kg.",""
"2019-08-20T11:00:18-04:00","Morning Ride","Ride","02:32:59","50.6","981","19.2","03:07","1761","28.2","02:07","-","-","141","133","50","159","-","179","2.55","223","-","0","MaxHr 190bpm. RestHr 65bpm. Weight 70kg.",""
"2019-08-18T13:41:35-04:00","Aflojando","Ride","02:16:45","55.2","884","24.1","02:29","1578","31.3","01:55","-","-","142","116","51","150","81","139","1.99","173","-","0","MaxHr 190bpm. RestHr 65bpm. Weight 70kg.",""
"2019-08-17T10:54:51-04:00","Vuelta al valle extendida","Ride","05:49:14","139.8","2768.3","23.8","02:31","4400","41.8","01:26","-","-","149","390","66","181","81","156","2.23","272","-","0","MaxHr 190bpm. RestHr 65bpm. Weight 70kg.",""
"2019-08-16T17:06:23-04:00","Sin carro","Ride","00:20:06","5.9","136","17.6","03:24","147","17.6","03:24","-","-","-","-","-","-","-","158","2.25","158","-","0","Weight 70kg.",""
"2019-08-15T09:42:11-04:00","Eólicas al revés","Ride","02:47:45","40.3","1326","13.5","04:26","1979","27.6","02:10","-","-","142","166","55","166","-","160","2.29","246","-","0","MaxHr 190bpm. RestHr 65bpm. Weight 70kg.",""
"2019-08-14T11:04:35-04:00","Paseando","Ride","01:30:32","12.6","299","8.1","07:26","325","10.3","05:49","-","-","-","-","-","-","-","76","1.09","106","-","0","Weight 70kg.",""
"2019-08-13T14:09:44-04:00","Irazú 🌧️❄️","Ride","03:27:28","64.2","2194","18.4","03:15","2405","42.4","01:24","-","-","145","195","56","164","70","149","2.13","223","-","0","MaxHr 190bpm. RestHr 65bpm. Weight 70kg.",""
"2019-08-12T16:35:02-04:00","Explorando","Ride","01:20:34","9.3","368.5","4.5","13:24","340","7.9","07:32","-","-","-","-","-","-","-","69","0.98","145","-","0","Weight 70kg.",""
"2019-08-12T11:27:46-04:00","Turrúcares","Ride","02:49:03","52.9","1150","18.6","03:13","1823","28.9","02:04","-","-","140","137","48","156","-","182","2.61","222","-","0","MaxHr 190bpm. RestHr 65bpm. Weight 70kg.",""
"2019-08-11T14:40:02-04:00","Turisteando","Ride","01:40:25","15.1","492","7.5","07:57","788","14.5","04:08","-","-","126","71","34","147","-","101","1.44","159","-","0","MaxHr 190bpm. RestHr 65bpm. Weight 70kg.",""
"2019-08-10T08:46:01-04:00","Vuelta al mundo 2.0","Ride","06:27:30","141","3366","21.5","02:47","4315","42.9","01:23","-","-","142","354","54","171","-","146","2.09","203","-","0","MaxHr 190bpm. RestHr 65bpm. Weight 70kg.",""
"2019-08-09T12:28:11-04:00","Piedras Negras","Ride","01:39:13","27.2","636","16.2","03:41","989","20.5","02:56","-","-","137","82","49","169","-","147","2.1","218","-","0","MaxHr 190bpm. RestHr 65bpm. Weight 70kg.",""
"2019-08-08T11:56:06-04:00","Por ahí","Ride","02:03:54","26","715","11.7","05:07","1551","19.3","03:06","-","-","146","128","57","162","-","128","1.82","183","-","0","MaxHr 190bpm. RestHr 65bpm. Weight 70kg.",""
"2019-08-06T10:00:08-04:00","Hasta donde Abuelo","Ride","06:50:45","170.6","3388","24","02:29","5415","36.6","01:38","-","-","150","471","66","173","80","152","2.18","211","-","0","MaxHr 190bpm. RestHr 65bpm. Weight 70kg.",""
"2019-08-05T15:46:38-04:00","Picagres","Ride","01:27:14","25.6","685","17.2","03:28","1196","23.8","02:31","-","-","154","109","73","174","77","176","2.51","224","-","0","MaxHr 190bpm. RestHr 65bpm. Weight 70kg.",""
"2019-07-31T09:50:02-04:00","Alto","Ride","03:29:12","76.3","2074","21.4","02:48","2248","32.3","01:51","-","-","139","172","48","152","74","158","2.25","194","-","0","MaxHr 190bpm. RestHr 65bpm. Weight 70kg.",""
"2019-07-30T11:30:19-04:00","Grifo","Ride","03:28:56","76.3","2067","20.7","02:53","2349","31.7","01:53","-","-","141","189","51","154","74","156","2.23","191","-","0","MaxHr 190bpm. RestHr 65bpm. Weight 70kg.",""
"2019-07-29T10:25:52-04:00","San Pablo","Ride","04:19:04","93.4","2624","20.7","02:53","3249","37.5","01:35","-","-","148","300","66","180","76","160","2.28","225","-","0","MaxHr 190bpm. RestHr 65bpm. Weight 70kg.",""
"2019-07-28T16:26:39-04:00","Spinners are winners!","Ride","00:59:44","30.4","247","30.5","01:57","763","31.7","01:53","-","-","145","52","52","150","90","150","2.14","158","-","0","MaxHr 190bpm. RestHr 65bpm. Weight 70kg.",""
"2019-07-27T15:52:03-04:00","Afternoon Ride","Ride","02:28:14","50.4","1310","19.9","03:00","1380","30.3","01:58","-","-","132","100","39","150","72","138","1.97","182","-","0","MaxHr 190bpm. RestHr 65bpm. Weight 70kg.",""
"2019-07-26T15:13:03-04:00","Grifo Alto","Ride","03:38:39","76","2003","20.9","02:52","2485","32.6","01:50","-","-","143","197","54","164","-","143","2.05","191","-","0","MaxHr 190bpm. RestHr 65bpm. Weight 70kg.",""
"2019-07-25T07:25:04-04:00","Grecia","Ride","03:58:33","101.6","1790","24.6","02:26","2662","31.9","01:52","-","-","141","213","52","160","78","149","2.13","217","-","0","MaxHr 190bpm. RestHr 65bpm. Weight 70kg.",""
"2019-07-23T14:57:40-04:00","Lunch Ride","Ride","02:23:32","50.4","1224","20.4","02:56","1274","31.3","01:54","-","-","-","-","-","-","-","135","1.93","164","-","0","Weight 70kg.",""
"2019-07-22T11:07:20-04:00","Morning Ride","Ride","02:19:15","50.4","1327","21.7","02:45","1416","31.5","01:54","-","-","138","108","46","155","74","149","2.14","194","-","0","MaxHr 190bpm. RestHr 65bpm. Weight 70kg.",""
"2019-07-21T11:43:24-04:00","Semana de 500k!","Ride","03:54:45","93.8","1446","23.5","02:33","2674","30.3","01:58","-","-","142","205","51","157","77","130","1.86","178","-","0","MaxHr 190bpm. RestHr 65bpm. Weight 70kg.",""
"2019-07-20T08:14:12-04:00","Vuelta al mundo 🌎","Ride","06:47:18","146.9","3617","21.3","02:48","5039","43.7","01:22","-","-","149","445","65","177","71","147","2.1","234","-","0","MaxHr 190bpm. RestHr 65bpm. Weight 70kg.",""
"2019-07-19T10:38:36-04:00","Más Puriscal","Ride","02:17:00","53","1387","23.1","02:35","1690","32.8","01:49","-","-","148","138","60","165","76","163","2.32","197","-","0","MaxHr 190bpm. RestHr 65bpm. Weight 70kg.",""
"2019-07-17T11:17:14-04:00","Puriscal","Ride","02:24:03","53","1400","21.8","02:44","1669","32.6","01:50","-","-","145","137","56","172","78","155","2.21","226","-","0","MaxHr 190bpm. RestHr 65bpm. Weight 70kg.",""
"2019-07-16T11:09:46-04:00","San Pablo","Ride","04:54:16","105.5","3067","21.2","02:49","3642","44.4","01:21","-","-","148","309","62","168","75","163","2.33","215","-","0","MaxHr 190bpm. RestHr 65bpm. Weight 70kg.",""
"2019-07-15T09:05:24-04:00","Puris","Ride","02:35:44","52.9","1313","20.4","02:56","1729","30.8","01:57","-","-","142","135","52","160","78","132","1.89","179","-","0","MaxHr 190bpm. RestHr 65bpm. Weight 70kg.",""
"2019-07-14T18:03:31-04:00","Siendo un vago","Ride","02:20:33","40.6","833","17.3","03:27","1238","22.1","02:43","-","-","133","96","41","151","75","98","1.41","154","-","0","MaxHr 190bpm. RestHr 65bpm. Weight 70kg.",""
"2019-07-13T12:31:42-04:00","Paquera","Ride","02:36:01","60.4","679","22.9","02:37","1878","27.7","02:09","-","-","143","134","51","158","83","115","1.64","165","-","0","MaxHr 190bpm. RestHr 65bpm. Weight 70kg.",""
"2019-07-12T14:35:25-04:00","Santa Teresa","Ride","03:12:01","64.3","1053","20","03:00","2137","29.2","02:03","-","-","141","164","51","166","75","109","1.56","182","-","0","MaxHr 190bpm. RestHr 65bpm. Weight 70kg.",""
"2019-07-10T11:35:48-04:00","Grifo Alto","Ride","03:37:29","73.6","1922","20.3","02:57","2382","31.8","01:53","-","-","141","181","50","158","75","138","1.97","184","-","0","MaxHr 190bpm. RestHr 65bpm. Weight 70kg.",""
"2019-07-09T12:41:13-04:00","Morning Ride","Ride","02:19:13","50.4","1239","21.7","02:45","1623","31.5","01:54","-","-","144","126","54","160","79","143","2.05","188","-","0","MaxHr 190bpm. RestHr 65bpm. Weight 70kg.",""
"2019-07-08T18:24:24-04:00","Afternoon Ride","Ride","01:40:52","33.7","856.9","19.9","03:01","925","27.9","02:09","-","-","-","-","-","-","-","138","1.98","196","-","0","Weight 70kg.",""
"2019-07-07T07:59:58-04:00","GFNY Costa Rica 2019","Ride","04:58:47","144.1","3120","28.9","02:04","4912","35.6","01:41","-","-","167","467","94","182","87","210","3","287","-","0","MaxHr 190bpm. RestHr 65bpm. Weight 70kg.",""
"2019-07-04T10:51:44-04:00","Grifo Alto","Ride","02:58:47","73.2","2031","24.6","02:26","2532","34.5","01:44","-","-","157","227","76","174","83","188","2.68","221","-","0","MaxHr 190bpm. RestHr 65bpm. Weight 70kg.",""
"2019-07-03T12:10:09-04:00","Morning Ride","Ride","01:44:48","40.1","859","23","02:36","1251","28.9","02:04","-","-","147","103","59","160","80","146","2.09","186","-","0","MaxHr 190bpm. RestHr 65bpm. Weight 70kg.",""
"2019-07-02T11:16:42-04:00","Morning Ride","Ride","02:15:33","50.4","1293","22.1","02:42","1627","30.4","01:58","-","-","147","137","60","167","77","152","2.18","201","-","0","MaxHr 190bpm. RestHr 65bpm. Weight 70kg.",""
"2019-07-01T17:21:06-04:00","Afternoon Ride","Ride","00:53:20","10.5","273","11.3","05:19","274","13.2","04:33","-","-","-","-","-","-","49","76","1.09","82","-","0","Weight 70kg.",""
"2019-07-01T10:51:51-04:00","Morning Ride","Ride","02:13:18","55.2","1126","24.5","02:26","1865","29.9","02:00","-","-","154","157","70","169","85","158","2.26","191","-","0","MaxHr 190bpm. RestHr 65bpm. Weight 70kg.",""
"2019-06-30T12:03:57-04:00","Morning Ride","Ride","01:27:44","33.3","882","22.8","02:38","1146","32.3","01:51","-","-","153","104","71","170","82","163","2.33","211","-","0","MaxHr 190bpm. RestHr 65bpm. Weight 70kg.",""
"2019-06-29T11:24:21-04:00","Morning Ride","Ride","01:42:43","43.8","387","25.6","02:20","1306","29.9","02:00","-","-","145","90","53","151","85","124","1.78","147","-","0","MaxHr 190bpm. RestHr 65bpm. Weight 70kg.",""
"2019-06-28T11:57:37-04:00","Mucha calor","Ride","02:06:27","50.8","783","24","02:30","1748","28.9","02:04","-","-","152","137","65","160","83","139","1.99","162","-","0","MaxHr 190bpm. RestHr 65bpm. Weight 70kg.",""
"2019-06-26T08:30:36-04:00","Ruta GFNY","Ride","06:46:33","151.2","3142","21.7","02:45","4399","31.9","01:52","-","-","140","344","49","155","77","136","1.94","193","-","0","MaxHr 190bpm. RestHr 65bpm. Weight 70kg.",""
"2019-06-25T12:45:25-04:00","Morning Ride","Ride","01:31:14","34.3","894","22.5","02:40","1231","31.6","01:53","-","-","154","111","73","172","81","158","2.26","216","-","0","MaxHr 190bpm. RestHr 65bpm. Weight 70kg.",""
"2019-06-24T12:25:06-04:00","Morning Ride","Ride","02:11:34","41.8","1094","19.1","03:08","1454","31","01:56","-","-","142","117","53","166","71","128","1.83","189","-","0","MaxHr 190bpm. RestHr 65bpm. Weight 70kg.",""
"2019-06-23T10:30:28-04:00","Morning Ride","Ride","01:36:24","33.2","866","20.7","02:54","1124","31.3","01:54","-","-","145","93","58","157","75","140","2","184","-","0","MaxHr 190bpm. RestHr 65bpm. Weight 70kg.",""
